id,question
Vegetable Pad Thai,What are the main ingredients used in the Vegetable Pad Thai recipe?
Vegetable Pad Thai,How long does it take to cook the Vegetable Pad Thai from start to finish?
Vegetable Pad Thai,What can I use instead of tofu in the Vegetable Pad Thai recipe?
Vegetable Pad Thai,What type of cuisine does the Vegetable Pad Thai belong to?
Vegetable Pad Thai,Can you describe the flavor profile of the Vegetable Pad Thai?
Chana Masala,What type of cuisine does Chana Masala belong to?
Chana Masala,How long does it take to cook Chana Masala?
Chana Masala,What are the main ingredients in Chana Masala?
Chana Masala,Can I substitute chickpeas with another ingredient?
Chana Masala,What is the difficulty level of preparing Chana Masala?
Stir-Fried Broccoli with Garlic Sauce,What ingredients do I need to make Stir-Fried Broccoli with Garlic Sauce?
Stir-Fried Broccoli with Garlic Sauce,How long does it take to cook the Stir-Fried Broccoli with Garlic Sauce?
Stir-Fried Broccoli with Garlic Sauce,Can I substitute soy sauce with something else in this recipe?
Stir-Fried Broccoli with Garlic Sauce,What is the main flavor profile of the Stir-Fried Broccoli with Garlic Sauce?
Stir-Fried Broccoli with Garlic Sauce,Is this dish suitable for a gluten-free diet?
Margherita Pizza,What is the cooking time for the Margherita Pizza?
Margherita Pizza,Can I use a substitute for mozzarella in this recipe?
Margherita Pizza,How many basil leaves do I need for the Margherita Pizza?
Margherita Pizza,What cuisine does the Margherita Pizza belong to?
Margherita Pizza,What are the main ingredients used in the Margherita Pizza?
Basil Fried Rice,What is the main cooking method used for Basil Fried Rice?
Basil Fried Rice,Can I substitute Thai basil with another type of basil for this recipe?
Basil Fried Rice,How long does it take to prepare and cook Basil Fried Rice?
Basil Fried Rice,What are the flavor notes of the Basil Fried Rice dish?
Basil Fried Rice,Is this dish suitable for a vegan diet?
Paneer Butter Masala,What are the main ingredients needed for Paneer Butter Masala?
Paneer Butter Masala,How long does it take to cook Paneer Butter Masala?
Paneer Butter Masala,Can I use tofu instead of paneer in this recipe?
Paneer Butter Masala,What is the difficulty level of making Paneer Butter Masala?
Paneer Butter Masala,What is the flavor profile of Paneer Butter Masala?
